iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.052527,
ABW,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,81535.57505478381,tonnes,annual,2023-10-10 21:31:23.052508,
ABW,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,81535.57505478381,tonnes,annual,2023-10-10 21:31:23.052548,
ABW,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,81535.57505478381,tonnes,annual,2023-10-10 21:31:23.052556,
ABW,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.052537,
ABW,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.053249,
ABW,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,78870.36184806959,tonnes,annual,2023-10-10 21:31:23.053234,
ABW,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,78870.36184806959,tonnes,annual,2023-10-10 21:31:23.053268,
ABW,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,78870.36184806959,tonnes,annual,2023-10-10 21:31:23.053276,
ABW,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.053259,
ABW,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.053943,
ABW,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,114325.4190518062,tonnes,annual,2023-10-10 21:31:23.053928,
ABW,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,114325.4190518062,tonnes,annual,2023-10-10 21:31:23.053972,
ABW,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,114325.4190518062,tonnes,annual,2023-10-10 21:31:23.053981,
ABW,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.053953,
ABW,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.054642,
ABW,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,101001.3942226702,tonnes,annual,2023-10-10 21:31:23.054627,
ABW,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,101001.3942226702,tonnes,annual,2023-10-10 21:31:23.054661,
ABW,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,101001.3942226702,tonnes,annual,2023-10-10 21:31:23.054669,
ABW,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.054651,
ABW,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.055322,
ABW,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,78806.3366033585,tonnes,annual,2023-10-10 21:31:23.055308,
ABW,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,78806.3366033585,tonnes,annual,2023-10-10 21:31:23.05534,
ABW,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,78806.3366033585,tonnes,annual,2023-10-10 21:31:23.055347,
ABW,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.055331,
ABW,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.05613,
ABW,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,130404.67346273243,tonnes,annual,2023-10-10 21:31:23.056114,
ABW,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,130404.67346273243,tonnes,annual,2023-10-10 21:31:23.056149,
ABW,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,130404.67346273243,tonnes,annual,2023-10-10 21:31:23.056157,
ABW,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.05614,
ABW,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.056825,
ABW,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,252635.16379112235,tonnes,annual,2023-10-10 21:31:23.05681,
ABW,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,252635.16379112235,tonnes,annual,2023-10-10 21:31:23.056844,
ABW,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,252635.16379112235,tonnes,annual,2023-10-10 21:31:23.056852,
ABW,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.056834,
ABW,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.057519,
ABW,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,79486.19916900869,tonnes,annual,2023-10-10 21:31:23.057505,
